quantity,unit,ingredient,ingredient_step,recipe_id
1.5,oz,151-proof demerara rum [lemon hart or el dorado],0,0
0.5,oz,lime juice,1,0
0.5,oz,sugar syrup,2,0
1,dash,angostura bitters,3,0
6,drops,[1/8 tsp.] pernod,4,0
8,oz,crushed ice,5,0
2,oz,siete leguas blanco tequila,0,1
3/4,oz,marie brizard crme de cacao,1,1
3/4,oz,lemon juice,2,1
1.5,oz,plymouth gin,0,2
3/4,oz,mari brizard white crme de cacao,1,2
3/4,oz,lillet blanc,2,2
3/4,oz,lemon juice,3,2
1 1/2,oz,pernod (or other absinthe substitute),0,3
1,,sugar cube,1,3
5,oz,cold filtered water,2,3
1,,perforated spoon,3,3
1,oz,gold tequila,0,4
1,oz,gold rum,1,4
2,oz,grapefruit juice,2,4
3,oz,pineapple juice,3,4
1.25,oz,brandy,0,5
0.5,oz,amontillado sherry,1,5
0.5,oz,lemon juice,2,5
1,,barspoon lime juice,3,5
0.5,oz,demerara syrup (2:1),4,5
1,oz,water,5,5
2.5,cups,sugar,0,6
1,cup,water,1,6
18,oz,lemon juice,2,6
4,oz,lime juice,3,6
1,,",500 ml brandy",4,6
18,oz,montilla sherry,5,6
1.5,qt,water,6,6
1.5,oz,bulleit rye whisky,0,7
0.5,oz,bowmore islay scotch whisky,1,7
0.25,oz,spiced rich syrup,2,7
1,oz,southern comfort,0,8
1,oz,amaretto,1,8
1/2,oz,sloe gin,2,8
1,oz,orange juice,3,8
1,oz,southern comfort,0,9
1,oz,amaretto,1,9
1/2,oz,sloe gin,2,9
,dash,of lemon juice,3,9
,,maraschino cherry,4,9
,,lemon slice,5,9
1.5,oz,gin,0,10
0.5,oz,yellow chartreuse,1,10
2.25,oz,gin,0,11
0.75,oz,yellow chartreuse,1,11
2,dash,es orange bitter,2,11
3,cl,cognac,0,12
3,cl,crme de cacao (brown),1,12
3,cl,cream,2,12
1 1/2,oz,grand marnier,0,13
3/4,oz,gin,1,13
3/4,oz,dry vermouth,2,13
1/4,oz,sweet vermouth,3,13
2,dash,es angostura bitters,4,13
1.5,oz,rye,0,14
.75,oz,dry vermouth,1,14
.75,oz,pineapple juice,2,14
2,oz,rye (or blended whiskey),0,15
1/2,oz,dry vermouth,1,15
1,oz,pineapple juice,2,15
2,oz,rittenhouse rye,0,16
.75,oz,noilly prat dry vermouth,1,16
.75,oz,pineapple juice,2,16
1 1/2,oz,bourbon,0,17
1,oz,lemon juice,1,17
1/2,oz,galliano,2,17
1,teaspoon,orgeat syrup,3,17
3,,to 5 ounces chilled club soda,4,17
2,oz,amaretto,0,18
1 1/2,oz,white crème de cacao,1,18
1,oz,heavy cream,2,18
1.5,oz,amaretto,0,19
0.75,oz,cask-strength bourbon,1,19
1,oz,lemon juice,2,19
1,tsp,rich simple syrup [2:1],3,19
0.5,oz,"egg white, beaten",4,19
2,oz,amaretto,0,20
1,oz,lemon juice,1,20
,,maraschino cherry,2,20
1,oz,light rum,0,21
,,⅓ ounce apple schnapps,1,21
2,dash,es passion fruit liqueur,2,21
1,oz,cranberry juice,3,21
3,cl,gin,0,22
3,cl,apricot brandy,1,22
3,cl,calvados,2,22
1/4,oz,crème de cacao,0,23
1/4,oz,crème de violette,1,23
1/4,oz,brandy,2,23
1/4,oz,heavy cream,3,23
2,oz,chilled white crème de cacao,0,24
1/2,oz,heavy cream,1,24
,,maraschino cherry,2,24
1.5,oz,angostura bitters,0,25
.75,oz,lime juice,1,25
1,oz,simple syrup [1:1],2,25
1,,egg white,3,25
1 1/2,oz,gin,0,26
1/2,oz,bénédictine,1,26
2,oz,grapefruit juice,2,26
,,orange slice,3,26
40,ml,campari,0,27
30,ml,noilly prat dry vermouth,1,27
30,ml,st. germain,2,27
1 1/2,oz,gin,0,28
1/2,oz,galliano,1,28
1/2,oz,crème de banane,2,28
1/2,oz,grapefruit juice,3,28
1.5,oz,rittenhouse rye,0,29
0.5,oz,noilly prat dry vermouth,1,29
0.25,oz,green chartreuse,2,29
0.25,oz,luxardo maraschino liqueur,3,29
2,oz,cognac,0,30
0.75,oz,lemon juice,1,30
0.75,oz,maraschino liquor,2,30
1,,egg white,3,30
1.5,oz,cognac,0,31
0.75,oz,absinthe,1,31
1,tsp,maraschino,2,31
0.5,tsp,lemon juice,3,31
2,tsp,egg white,4,31
1 1/2,oz,light rum,0,32
1/2,oz,apricot liqueur,1,32
2 1/2,oz,pineapple juice,2,32
1/2,oz,lemon juice,3,32
1/4,oz,galliano,4,32
,,orange slice,5,32
2,oz,baileys,0,33
3,oz,chai,1,33
,,brown sugar,2,33
,,cinnamon stick,3,33
4.5,cl,gin,0,34
1.5,cl,maraschino,1,34
1.5,cl,lemon juice,2,34
1 1/2,oz,silver tequila,0,35
1/2,oz,cointreau,1,35
1,oz,lime juice,2,35
1/2,oz,lemon juice,3,35
1/4,cup,diced ripe avocado,4,35
1,oz,half-and-half,5,35
1,teaspoon,sugar,6,35
,,lime wedge,7,35
,,avocado slice,8,35
2,oz,bourbon,0,36
1/4,oz,crème de cacao,1,36
1/4,oz,galliano (or other vanilla liqueur),2,36
3/4,oz,egg white,3,36
2,dash,es aztec chocolate bitters,4,36
,,nutmeg,5,36
1/2,oz,bénédictine,0,37
1/2,oz,cognac,1,37
2,cl,kahlua,0,38
2,cl,baileys irish cream,0,39
2,cl,grand marnier,1,39
4.5,cl,bacardi rum white,0,40
2,cl,lime juice,1,40
1,cl,grenadine,2,40
1,oz,dark rum,0,41
1/2,oz,coconut rum,1,41
1/2,oz,coffee liqueur,2,41
4,oz,pineapple juice,3,41
1 1/2,oz,lemon juice,4,41
1,tablespoon,151-proof demerara rum,5,41
,,pineapple wedge,6,41
,,maraschino cherry,7,41
1 1/2,oz,gin,0,42
2,oz,guava nectar,1,42
1/2,oz,lime juice,2,42
1,oz,pomegranate syrup,3,42
3,,to 4 ounces chilled club soda,4,42
,,lime wheel,5,42
,,orange blossom (or other edible flower),6,42
1,oz,rum,0,43
,,⅔ ounce crème de cacao,1,43
1/2,oz,crème de banane,2,43
2,oz,heavy cream,3,43
1,,"ripe banana, peeled and sliced",4,43
4.5,cl,gold rum,0,44
1.5,cl,galliano,1,44
6,cl,pineapple juice,2,44
1,dash,lime juice,3,44
,,lime wedge,0,45
,,superfine sugar,1,45
2,oz,gold rum,2,45
1/2,oz,cointreau,3,45
1/4,oz,maraschino liqueur,4,45
1/4,oz,cherry brandy,5,45
1/2,oz,lime juice,6,45
,,lime slice,7,45
2,oz,gin,0,46
1/2,oz,white crème de cacao,1,46
1,,egg white,2,46
1/2,teaspoon,grenadine,3,46
1/2,,jigger gin,0,47
1,,spoon lemon juice,1,47
1,,spoon orange juice,2,47
1,,spoon honey,3,47
,,juice from 1/4 lemon [~0.25 oz.],0,48
1,tsp,honey,1,48
1/2,,glass gin [~1 oz.],2,48
2,oz,plymouth gin,0,49
0.75,oz,honey syrup [2:1 honey:water],1,49
0.75,oz,lemon juice,2,49
2,oz,gin,0,50
0.75,oz,honey syrup [1:1 honey:water],1,50
0.5,oz,lemon juice,2,50
2,oz,gin,0,51
0.75,oz,honey syrup [3:1 honey:water],1,51
0.75,oz,lemon juice,2,51
1,oz,gin,0,52
,oz,campari,1,52
1/2,oz,limoncello,2,52
1/2,oz,mandarine napoléon (or other orange liqueur),3,52
,oz,orange juice,4,52
,,lime peel spiral,5,52
10,cl,prosecco,0,53
5,cl,peach puree,1,53
,,variations:,2,53
,,"puccini (mandarin juice),",3,53
,,"rossini (strawberry puree),",4,53
,,tintoretto (pomegranate juice).,5,53
1 1/2,oz,blended american whiskey,0,54
3/4,oz,harveys bristol cream sherry,1,54
1/2,oz,lemon juice,2,54
1,oz,simple syrup,3,54
1 1/2,oz,orange juice,4,54
1 1/2,oz,cranberry juice,5,54
1,oz,chilled 7-up,6,54
1,oz,chilled club soda,7,54
,,whole strawberry,8,54
,,lemon slice,9,54
,,mint sprig,10,54
1 1/2,oz,canadian blended whisky,0,55
1/2,oz,drambuie,1,55
1/4,oz,kirsch,2,55
3,cl,white rum,0,56
3,cl,cognac,1,56
3,cl,triple sec,2,56
2,cl,lemon juice,3,56
.75,oz,brandy,0,57
.75,oz,rum,1,57
.75,oz,cointreau,2,57
.75,oz,lemon juice.,3,57
1,oz,brandy,0,58
1,oz,gin,1,58
1,oz,cointreau,2,58
3/4,oz,lemon juice,3,58
1,oz,brandy,0,59
1,oz,white rum,1,59
1,oz,cointreau,2,59
1,dash,lemon juice,3,59
1.5,oz,brandy,0,60
.5,oz,bndictine,1,60
.5,oz,cointreau,2,60
.75,oz,lemon juice,3,60
1,oz,white rum,0,61
1,oz,cointreau,1,61
1,oz,cognac,2,61
.5,oz,lemon juice,3,61
1,oz,brandy,0,62
1,oz,white rum,1,62
1,oz,cointreau,2,62
.75,oz,lemon juice,3,62
1,oz,green chartreuse,0,63
1,oz,sweet vermouth,1,63
1,oz,plymouth gin,2,63
1,dash,orange bitters,3,63
1,oz,tanqueray gin,0,64
1,oz,dolin sweet vermouth,1,64
1,oz,green chartreuse,2,64
1,dash,house orange bitters,3,64
1.5,oz,gin,0,65
0.75,oz,sweet vermouth,1,65
0.75,oz,green chartreuse,2,65
2,dash,es orange bitters,3,65
1.5,oz,plymouth gin,0,66
0.75,oz,carpano antica sweet vermouth,1,66
0.5,oz,green chartreuse,2,66
1,dash,angostura bitters,3,66
3/4,oz,tequila,0,67
3/4,oz,white crème de cacao,1,67
1/4,oz,amaretto,2,67
1 1/2,oz,heavy cream,3,67
2,,lime wedges,0,68
,,salt,1,68
1 1/2,oz,pepper-infused tequila (see page 71),2,68
3/4,oz,triple sec or other orange liqueur,3,68
1 1/2,oz,sweet-and-sour,4,68
1/2,cup,"washed, stemmed, halved orange cherry tomatoes",5,68
1,cl,"ove garlic, finely minced",6,68
1,,chopped green onion,7,68
2,,to 3 dashes worcestershire sauce,8,68
2,,orange cherry tomatoes,9,68
1,oz,campari,0,69
12,oz,india pale ale,1,69
,,"pour campari into pint glass, top with ipa",2,69
,,garnish with lemon twist,3,69
,,,4,69
,,basically a rum martini.,0,70
,,,1,70
1/4,oz,dry vermouth,2,70
,,black olive,3,70
,,the black magic is a black russian with a dash of lemon juice.,0,71
1,oz,tequila,0,72
1,oz,vodka,1,72
2,oz,kahlúa,2,72
1,oz,gold rum,0,73
1/4,oz,southern comfort,1,73
1,teaspoon,sugar,2,73
1 1/2,oz,lime juice,3,73
2,oz,irish whiskey,0,74
1/4,oz,cointreau,1,74
1/4,oz,absinthe substitute (pernod or anisette),2,74
,dash,of maraschino liqueur,3,74
,dash,of angostura bitters,4,74
,,lemon twist,5,74
3,oz,bourbon (or blended whiskey),0,75
1,oz,cranberry juice,1,75
1/2,oz,lemon juice,2,75
1,oz,simple syrup,3,75
,,lemon slice,4,75
0.75,oz,scotch whisky,0,76
0.75,oz,cherry heering,1,76
0.75,oz,sweet vermouth,2,76
1,oz,orange juice,3,76
3/4,oz,blended scotch whisky,0,77
3/4,oz,sweet vermouth,1,77
3/4,oz,orange juice,2,77
3/4,oz,cherry heering,3,77
1.5,oz,famous grouse blended scotch whisky,0,78
0.75,oz,orange juice,1,78
0.5,oz,cherry heering,2,78
0.5,oz,carpano antica sweet vermouth,3,78
2,oz,silver tequila,0,79
1 1/2,oz,lime juice,1,79
1,cl,"ove garlic, finely minced",2,79
1/4,cup,chopped cucumber,3,79
2,,to 3 dashes worcestershire sauce,4,79
2,,to 3 dashes tabasco sauce or other hot sauce,5,79
4,,to 5 ounces tomato or v8 juice,6,79
,,lime wedge,7,79
,,celery stalk,8,79
1/2,oz,blue curaçao,0,80
1/2,oz,brandy,1,80
1/2,oz,parfait amour,2,80
1/2,oz,heavy cream,3,80
,dash,of lemon juice,4,80
1 1/2,oz,bourbon,0,81
1,oz,pineapple juice,1,81
1,oz,lemon juice,2,81
1/4,oz,maraschino liqueur,3,81
1,oz,light rum,0,82
1,oz,blue curaçao,1,82
1,oz,cream of coconut,2,82
2,oz,pineapple juice,3,82
,,pineapple wedge,4,82
,,maraschino cherry,5,82
,,lime wedge,0,83
,,kosher salt,1,83
2,oz,tequila,2,83
1,oz,blue curaçao,3,83
1,oz,cointreau (or triple sec),4,83
1,oz,lime juice,5,83
,,lemon wedge,0,84
,,sugar,1,84
2,oz,citron rum,2,84
1/2,oz,blue curaçao,3,84
1/2,oz,sweet-and-sour,4,84
,,orange blossom,5,84
1,oz,gin,0,85
1,oz,cointreau (or triple sec),1,85
,dash,of blue curaçao,2,85
3,,to 4 ounces chilled club soda,3,85
3/4,oz,tequila,0,86
1/4,oz,blue curaçao,1,86
2,,to 3 dashes galliano,2,86
1 1/2,oz,heavy cream,3,86
1 1/2,oz,tequila,0,87
1 1/2,oz,vodka,1,87
1/2,oz,"blue curaçao """,2,87
2,oz,highland malt scotch,0,88
3/4,oz,sweet vermouth,1,88
1/2,oz,benedictine,2,88
2,oz,amaretto,0,89
4,oz,orange juice,1,89
1,,to 2 ounces chilled club soda,2,89
,,orange slice,3,89
1 1/2,oz,light rum,0,90
3/4,oz,calvados (or applejack),1,90
1/2,teaspoon,sweet vermouth,2,90
,,lime wedge,0,91
,,salt,1,91
1 1/2,oz,silver tequila,2,91
1,oz,midori liqueur,3,91
1/2,oz,harlequin orange liqueur,4,91
1/2,oz,lime juice,5,91
1,tablespoon,superfine sugar,6,91
,,lemon twist,7,91
1 1/2,oz,cachaça (or light rum),0,92
1,oz,frangelico,1,92
1/2,oz,cointreau,2,92
3/4,oz,lime juice,3,92
3/4,oz,cranberry juice,4,92
1,tablespoon,honey,5,92
2,,cranberries,6,92
,,lime wedge,7,92
1 1/2,oz,gin,0,93
1 1/2,oz,apricot brandy,1,93
1/2,oz,lemon juice,2,93
,dash,of grenadine,3,93
1.5,oz,bourbon,0,94
1.0,oz,campari,1,94
1.0,oz,sweet vermouth,2,94
2.0,oz,bourbon or rye,0,95
1.0,oz,campari,1,95
1.0,oz,sweet vermouth,2,95
,,lemon wedge,0,96
2,oz,bourbon,1,96
5,oz,chilled ginger ale,2,96
,,lemon wedge,0,97
,,sugar,1,97
,,lemon peel spiral,2,97
2,oz,bourbon,3,97
1/2,oz,cointreau (or maraschino liqueur),4,97
1/2,oz,lemon juice,5,97
2,oz,bourbon,0,98
1/2,oz,dark crème de cacao,1,98
4,oz,milk (or 3 ounces half-and-half),2,98
,dash,of vanilla extract,3,98
1/4,teaspoon,ground cinnamon,4,98
,,freshly grated or ground nutmeg,5,98
2 1/2,oz,bourbon,0,99
1/2,oz,southern comfort,1,99
1/2,oz,lemon juice,2,99
5,,to 6 ounces chilled club soda,3,99
,,lemon wedge,4,99
2,oz,bourbon,0,100
1/2,oz,apricot brandy,1,100
1/2,oz,lemon juice,2,100
5,,to 6 ounces chilled ginger ale,3,100
,,lemon wheel,4,100
2,oz,bourbon,0,101
1,oz,dark crème de cacao,1,101
1,,to 2 vanilla beans or 1/2 teaspoon vanilla extract,2,101
4,cl,gin,0,102
1.5,cl,lemon juice,1,102
1,cl,sugar syrup,2,102
1.5,cl,blackberry liqueur,3,102
4,,to 5 blackberries,0,103
1,teaspoon,sugar,1,103
1,oz,lime juice,2,103
1 1/2,oz,gin,3,103
1/2,oz,crème de mûre (blackberry liqueur),4,103
3,,to 4 ounces chilled club soda,5,103
,,lime wedge,6,103
1.5,oz,cruzan single barrel rum,0,104
0.75,oz,b&b,1,104
1.5,oz,lemon sour [2:1 lemon juice:simple syrup],2,104
1,tsp,egg white,3,104
2,dash,es angostura orange bitters,4,104
1 1/2,oz,gold tequila,0,105
1,oz,kahlúa (or tia maria),1,105
1,oz,rye,0,106
1,oz,applejack,1,106
0.75,oz,curaao,2,106
0.75,oz,lemon juice,3,106
2,oz,beefeater gin,0,107
0.75,oz,orange juice,1,107
0.5,oz,dolin dry vermouth,2,107
0.5,oz,carpano antica sweet vermouth,3,107
2,oz,gin,0,108
0.25,oz,sweet vermouth,1,108
0.25,oz,dry vermouth,2,108
1,oz,orange juice,3,108
2,oz,gin,0,109
0.25,oz,sweet vermouth,1,109
0.25,oz,dry vermouth,2,109
1,oz,orange juice,3,109
1.5,oz,gin,0,110
0.25,oz,sweet vermouth,1,110
0.25,oz,dry vermouth,2,110
1.5,oz,orange juice,3,110
1.5,oz,gin,0,111
0.75,oz,orange juice,1,111
1,tsp,french vermouth,2,111
1,tsp,italian vermouth,3,111
2,oz,rittenhouse rye whisky,0,112
3/4,oz,dolin dry vermouth,1,112
0.25,oz,luxardo maraschino liqueur,2,112
0.25,oz,amer picon,3,112
2/3,,canadian club whiskey,0,113
1/3,,french vermouth,1,113
1,dash,maraschino liqueur,2,113
1,dash,amer picon,3,113
2,oz,rye whisky,0,114
3/4,oz,dry vermouth,1,114
2,tsp,maraschino liqueur,2,114
2,tsp,torani amer,3,114
2,oz,rye whisky,0,115
1,oz,dolin dry vermouth,1,115
0.25,oz,luxardo maraschino liqueur,2,115
0.25,oz,bigallet china china amer,3,115
1,drop,angostura bitters,4,115
1 1/2,oz,rye,0,116
3/4,oz,sweet vermouth,1,116
,dash,of maraschino liqueur,2,116
,,lemon twist,3,116
2,oz,bourbon,0,117
1,oz,grapefruit juice,1,117
0.5,oz,honey syrup [1:1],2,117
2,oz,bourbon,0,118
1,oz,grapefruit,1,118
0.5,oz,honey syrup [3:1],2,118
2,oz,makers mark bourbon,0,119
1,oz,grapefruit juice,1,119
0.75,oz,honey syrup [2:1],2,119
2,oz,8 or 15-year el dorado rum,0,120
0.25,oz,demerara simple syrup [1:1],1,120
1,oz,amaretto,0,121
1,oz,baileys irish cream,1,121
1,oz,tia maria (or other coffee liqueur),2,121
2,oz,heavy cream,3,121
2,oz,butterscotch schnapps,0,122
1 1/2,oz,baileys irish cream,1,122
6,oz,milk,2,122
1/2,oz,chocolate syrup,3,122
2,oz,good-quality reposado tequila,0,123
1,oz,grand marnier,1,123
1,oz,lime juice,2,123
,,lime peel spiral,3,123
1,oz,sambuca,0,124
1,oz,kahlúa or tia maria,1,124
1,oz,heavy cream,2,124
1,oz,famous grouse blended scotch whiskey,0,125
1,oz,jameson irish whiskey,1,125
0.75,oz,lemon juice,2,125
0.5,oz,kassatly chtaura orgeat,3,125
1,oz,scotch whiskey,0,126
1,oz,irish whiskey,1,126
0.75,oz,lemon juice,2,126
0.75,oz,orgeat,3,126
2,oz,canadian blended whisky,0,127
1/2,oz,cointreau,1,127
1,teaspoon,simple syrup,2,127
2,dash,es angostura bitters,3,127
1,oz,white crème de cacao,0,128
1,oz,crème de banane,1,128
1,oz,heavy cream,2,128
1 1/2,oz,gin,0,129
1/2,oz,limoncello,1,129
1/4,oz,peach schnapps,2,129
1,oz,grapefruit juice,3,129
1,oz,mango juice,4,129
,dash,of orgeat (or almond) syrup,5,129
1,oz,gold or dark rum,0,130
1,oz,crème de banane,1,130
1/2,oz,apricot brandy,2,130
1/2,oz,lemon juice,3,130
,dash,of sloe gin,4,130
,,banana slice,5,130
1,oz,gin,0,131
1,oz,crème de banane,1,131
1,oz,blue curaçao,2,131
1,oz,lemon juice,3,131
1/2,oz,heavy cream,4,131
,dash,of grenadine,5,131
,,orange slice,6,131
,,maraschino cherry,7,131
2 1/2,oz,light rum,0,132
1/2,oz,cointreau,1,132
1/2,oz,maraschino liqueur,2,132
1/2,oz,lime juice,3,132
1 1/2,oz,bourbon,0,133
3/4,oz,sweet marsala,1,133
3/4,oz,kahlúa,2,133
1,oz,heavy cream,3,133
4,cl,old tom gin,0,134
1,cl,marachino,1,134
1,cl,orange bitters,2,134
1,cl,lemon juice,3,134
1 1/2,oz,gold rum,0,135
3/4,oz,calvados,1,135
1 1/2,oz,orange juice,2,135
1,oz,lime juice,3,135
1,,teaspooon sugar,4,135
,,lime wedge,5,135
1 1/2,oz,gold rum,0,136
3/4,oz,white rum,1,136
1/4,oz,tia maria,2,136
1/4,oz,triple sec,3,136
1 1/2,oz,lime juice,4,136
,dash,of grenadine,5,136
,,mint sprig,6,136
9,cl,chilled champagne,0,137
1,cl,cognac,1,137
2,dash,es angostura bitters,2,137
1,,sugar cube,3,137
1.5,oz,cognac,0,138
0.75,oz,lemon,1,138
0.5,oz,green chartreuse,2,138
0.5,oz,simple syrup,3,138
2,dash,es angostura bitters,4,138
2,oz,hine vsop cognac,0,139
0.75,oz,lemon juice,1,139
0.5,oz,green chartreuse,2,139
0.25,oz,simple syrup,3,139
1,dash,angostura bitters,4,139
3,,glasses cognac [6 oz.],0,140
1,,glass chartreuse [2 oz.],1,140
1.5,,glasses sweetened lemon juice [3 oz.],2,140
1,dash,angostura bitters,3,140
1.5,oz,cognac,0,141
0.5,oz,green chartreuse,1,141
0.25,oz,lemon juice,2,141
0.125,oz,simple syrup,3,141
2,dash,es angostura bitters,4,141
1 1/2,oz,silver tequila,0,142
1/2,teaspoon,cointreau (or triple sec),1,142
1,oz,orange juice,2,142
1/2,oz,lemon juice,3,142
1/4,oz,grenadine,4,142
,,orange slice,5,142
1,oz,apricot brandy,0,143
1,oz,sloe gin,1,143
1,oz,lime juice,2,143
1,oz,marie brizard apry,0,144
1,oz,sloe gin,1,144
1,oz,lime juice,2,144
1.25,oz,green chartreuse,0,145
1,oz,pineapple juice,1,145
0.75,oz,lime juice,2,145
0.5,oz,velvet falernum,3,145
2,oz,gin,0,146
3/4,oz,cherry heering,1,146
1/4,oz,crème de cassis,2,146
1/4,oz,lemon juice,3,146
1/4,oz,simple syrup,4,146
,,lemon slice,5,146
,,maraschino cherry,6,146
,,mint sprig,7,146
1,oz,gold tequila,0,147
1,oz,cherry brandy,1,147
1/2,oz,lime juice,2,147
1,oz,apple juice,3,147
,,lime twist,4,147
3/4,oz,amaretto,0,148
3/4,oz,baileys irish cream,1,148
3/4,oz,dark crème de cacao,2,148
1 1/2,oz,gold tequila,0,149
3/4,oz,godiva liqueur,1,149
1/2,oz,cointreau,2,149
1,oz,sweet-and-sour,3,149
1/4,oz,orange juice,4,149
2,oz,dolin dry vermouth,0,150
0.75,oz,benedictine,1,150
0.25,oz,vieux pontarlier absinthe,2,150
1,dash,house orange bitters,3,150
1 1/2,oz,bourbon,0,151
1,oz,brandy,1,151
1/2,oz,triple sec,2,151
4,oz,chilled ginger ale,3,151
1,,"lime, quartered",0,152
1,tablespoon,honey,1,152
1,oz,damiana liqueur,2,152
1 1/2,oz,rum barbancourt,3,152
3,oz,tangerine juice,4,152
1,oz,gin,0,153
1,oz,dry vermouth,1,153
0.5,oz,triple sec,2,153
0.5,oz,apricot brandy,3,153
1 1/4,oz,gin,0,154
1 1/4,oz,rose’s lime juice,1,154
,,lime wedge,2,154
2 1/2,oz,blended scotch,0,155
1/2,oz,sweet vermouth,1,155
,dash,of angostura bitters,2,155
,,maraschino cherry,3,155
1 1/2,oz,silver tequila,0,156
,,lime wedge,1,156
,,kosher salt,2,156
1,,-1/2 oz. gin [tanqueray],0,157
1/2,oz,yellow chartreuse,1,157
1/2,oz,grapefruit juice,2,157
1/4,oz,simple syrup,3,157
1/4,oz,lemon juice,4,157
2,oz,plymouth gin,0,158
3/4,oz,yellow chartreuse,1,158
3/4,oz,grapefruit juice,2,158
1/4,oz,lemon juice,3,158
1.5,oz,gin,0,159
0.75,oz,simple syrup,1,159
0.75,oz,lemon juice,2,159
0.25,oz,raspberry syrup,3,159
2,tsp,egg white,4,159
2,oz,gin,0,160
0.75,oz,lemon juice,1,160
0.75,oz,simple syrup,2,160
5,,raspberries [not 5 oz],3,160
1,,egg white,4,160
2,oz,plymouth gin,0,161
0.75,oz,lemon juice,1,161
0.5,oz,simple syrup,2,161
1,,barspoon bonne maman raspberry preserves,3,161
1,,egg white,4,161
4.5,cl,gin,0,162
1.5,cl,raspberry syrup,1,162
1.5,cl,lemon juice,2,162
2,oz,wild turkey rye,0,163
0.75,oz,dolin rouge sweet vermouth,1,163
0.75,oz,benedictine,2,163
3,dash,es st. george absinthe,3,163
3,dash,es peychauds bitters,4,163
2,oz,rye (50% abv),0,164
0.5,oz,benedictine,1,164
0.5,oz,sweet vermouth,2,164
3,dash,es peychauds bitters,3,164
3,dash,es angostura bitters,4,164
3,dash,es absinthe,5,164
1,oz,rye,0,165
1,oz,cognac,1,165
0.5,oz,benedictine,2,165
2,dash,es peychauds,3,165
1,dash,absinthe,4,165
1,oz,gin,0,166
1,oz,kahlúa,1,166
1,oz,heavy cream,2,166
1 1/2,oz,malibu coconut rum,0,167
1/2,cup,coconut sorbet or gelato,1,167
1,oz,lime juice,2,167
1,oz,coconut milk,3,167
1,oz,pineapple juice,4,167
,,pineapple wedge,5,167
,,dusting of ground nutmeg,6,167
1 1/2,oz,bourbon,0,168
3/4,oz,crème de cacao,1,168
1/2,oz,lemon juice,2,168
1 1/2,oz,canadian whisky,0,169
1/2,oz,grand marnier,1,169
1/4,oz,lemon juice,2,169
,,orange twist,3,169
2,oz,reposado tequila,0,170
2,oz,grapefruit juice,1,170
1/2,oz,campari,2,170
2,,to 3 ounces chilled club soda,3,170
,,orange twist,4,170
,,* 0.5 oz. rittenhouse rye,0,171
,,* 0.5 oz. buffalo trace bourbon,1,171
,,* 0.5 oz. calvados,2,171
,,* 0.5 oz. hine h cognac,3,171
,,* 1 tsp rich demerara syrup,4,171
,,* 2 dashes angostura bitters,5,171
,,* 1 dash bittermens xocolatl mole bitters,6,171
2 1/2,oz,gin,0,172
1/2,oz,rose’s lime juice,1,172
,,lime wedge,2,172
2,oz,captain morgan spiced rum,0,173
1/2,,"banana, peeled and sliced",1,173
1/4,cup,or frozen raspberries,2,173
3/4,oz,lime juice,3,173
1/2,oz,simple syrup,4,173
2,,raspberries,5,173
1,,lime wheel,6,173
1.5,oz,cognac,0,174
0.5,oz,applejack,1,174
